vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
10 - Fabian Retamosa;504-Boby;23030-REX 25kg;117;2;0;2;115;1.71;2060
10 - Fabian Retamosa;531-Sivezul S,A.;2412-VINAGRE ROSINA 5L;7;6;0;6;1;85.71;870
10 - Fabian Retamosa;551-Urusal;24119-DOS ESTRELLAS SAL FINA 500 G (24);1848;0;36;36;1812;1.95;1224
10 - Fabian Retamosa;551-Urusal;24101-SAL GRUESA DOS ESTRELLAS 500G (Fx24);394;0;3;3;391;0.76;102
10 - Fabian Retamosa;560-LIMAY;L32-DULCE BATATA LIMAY BLOCK 3kg;1;1;0;1;0;100;317
10 - Fabian Retamosa;560-LIMAY;PL1152-LA PATAIA DULCE DE LECHE 475G VIDRIO;34;0;1;1;33;2.94;147
10 - Fabian Retamosa;560-LIMAY;PL1151-LA PATAIA DULCE DE LECHE 860G VIDRIO;31;0;1;1;30;3.23;233
10 - Fabian Retamosa;560-LIMAY;LP1120-LA PATAIA DULCE DE LECHE POTE 500G;41;5;0;5;36;12.2;610
10 - Fabian Retamosa;560-LIMAY;L3-MEMBRILLO EL RETOÑO 500g;1;1;0;1;0;100;57
10 - Fabian Retamosa;604-Culinex;710201710-CROQUETAS 1K CRUFI;6;2;0;2;4;33.33;396
10 - Fabian Retamosa;604-Culinex;700367620-ESPINACA PICADA 2.5 kg BATUK;1;1;0;1;0;100;285
10 - Fabian Retamosa;609-REBOZADOS DE POLLO CRUFI;9515-NUGGET POLLO 2.5KG SEARA;198;1;0;1;197;0.51;760
10 - Fabian Retamosa;609-REBOZADOS DE POLLO CRUFI;780561806-NUGGETS 900GRS SEARA;7;1;0;1;6;14.29;301
10 - Fabian Retamosa;650-PORTOBELO;31219-CREMA DOBLE COLONIAL 1 Lt;0;0;1;1;-1;100;215
10 - Fabian Retamosa;660-Condimentos Del Gaucho;24750-CEBOLLA ESCAMAS DEL GAUCHO x100g POTE;4;0;1;1;3;25;200
10 - Fabian Retamosa;660-Condimentos Del Gaucho;230030-DEL GAUCHO CURCUMA 250G DOYPACK;0;0;1;1;-1;100;212
10 - Fabian Retamosa;660-Condimentos Del Gaucho;24783-DEL GAUCHO PIMENTON 25g (20);0;0;0.15;0.15;-0.15;100;95.85
10 - Fabian Retamosa;660-Condimentos Del Gaucho;24753-PIMIENTA NEGRA MOLIDA DEL GAUCHO x230g POTE;0;0;1;1;-1;100;343
10 - Fabian Retamosa;660-Condimentos Del Gaucho;25705-SAL PARRILLERA DEL GAUCHO.350 BOTELLA;82;3;0;3;79;3.66;309
10 - Fabian Retamosa;663-Aderezos Del Gaucho;24734-MOSTAZA CLASICA x475gPETDOWN DEL GAUCHO;47;2;0;2;45;4.26;254
10 - Fabian Retamosa;663-Aderezos Del Gaucho;MOS100-MOSTAZA CON MIEL 100G DEL GAUCHO;4;2;0;2;2;50;936
10 - Fabian Retamosa;663-Aderezos Del Gaucho;24733-MOSTAZA DEL GAUCHO x1kg DP;20;1;0;1;19;5;95
10 - Fabian Retamosa;664-Conservas Del Gaucho;24719-CEBOLLITA VINAGRE DEL GAUCHO x300g FRASCO;0;0;1;1;-1;100;164
10 - Fabian Retamosa;665-Conservas Del Gaucho Gastronómico;24710-MIXED PICKLES DEL GAUCHO x900g DP;4;0;1;1;3;25;185
10 - Fabian Retamosa;700-PROMOL;30542-DUKITA PURE DE PAPAS 120g;590;0;4;4;586;0.68;136
10 - Fabian Retamosa;800-FRESH UP;440408-FRESH UP FRESCURA MAXIMA 180g + cepillo;144;4;0;4;140;2.78;300
10 - Fabian Retamosa;800-FRESH UP;440401-FRESH UP FRESCURA MAXIMA 50G;61;13;0;13;48;21.31;376.99
10 - Fabian Retamosa;800-FRESH UP;440402-FRESH UP FRESCURA MAXIMA 90g;167;2;0;2;165;1.2;92
10 - Fabian Retamosa;999-Sin calificar;2036-DTOS. OTORGADOS;1;32.36;0;32.36;-31.36;3236;49434
10 - Fabian Retamosa;1009-carbon;21540-2KG CARBON (FUNDA X8);58;0;1;1;57;1.72;65
10 - Fabian Retamosa;1010-Vinos G.M;1139-ALMA CHARRUA CABENNET SAUVIGNON 750ml (6);30;2;0;2;28;6.67;294
10 - Fabian Retamosa;1010-Vinos G.M;9122-ALMA CHARRUA TANNAT 750ml (6);26;2;0;2;24;7.69;280
10 - Fabian Retamosa;1012-Aceites Garzon;30128-ACEITE OLIVA EXTRA VIRGEN BIV 250ML;20.18;5.18;0;5.18;15;25.67;1564.36
10 - Fabian Retamosa;1012-Aceites Garzon;30135-ACEITE OLIVA VIRGEN ITAL 250ML;5;2;0;2;3;40;604
10 - Fabian Retamosa;1012-Aceites Garzon;30136-ACEITE OLIVA VIRGEN TRIV. 500ML;5;2;0;2;3;40;980
10 - Fabian Retamosa;1012-Aceites Garzon;30134-ACEITE OLIVA VIRGEN TRIV.250ML;5;2;0;2;3;40;604
10 - Fabian Retamosa;1015-LEOPOLDO GROSS;25139-LECHE CONDENSADA AZUCARADA 395 GR;18;0;2;2;16;11.11;240
10 - Fabian Retamosa;1015-LEOPOLDO GROSS;24681-NUTRY BARRA CEREAL avell c/choc.24x22g;12;1;1.33;2.33;9.67;19.42;850.45
10 - Fabian Retamosa;1015-LEOPOLDO GROSS;25075-NUTRY BARRA CEREAL CO/CHO 24udsx22;2;0;0.17;0.17;1.83;8.5;62.05
10 - Fabian Retamosa;1015-LEOPOLDO GROSS;24682-NUTRY BARRA CEREAL frutos rojos 24x22g;9;0;0.17;0.17;8.83;1.89;62.05
10 - Fabian Retamosa;1015-LEOPOLDO GROSS;25128-NUTRY BARRA DE CEREAL-CASTAÑA CAJU C/CHOCO 24 U;1;1;0;1;0;100;365
10 - Fabian Retamosa;1023-Sucre Group S.R.L;2422-ALL CLEAN TOALLA X600X3 ROLLOS F4;29;1;0;1;28;3.45;162
10 - Fabian Retamosa;1023-Sucre Group S.R.L;2417-JABON SUPREMA VERDE 1LT X12;49;2;0;2;47;4.08;140
10 - Fabian Retamosa;1023-Sucre Group S.R.L;24283-SUAVIZANTE CELESTE 5LTS X3;13;5;0;5;8;38.46;1015
10 - Fabian Retamosa;1033-Leopoldo Gross Cerveza;24504-CERV. S/ALC. LIMON 330ML BOTELLA CLAUSTHALER;72;24;0;24;48;33.33;2040
10 - Fabian Retamosa;1080-MILI CUIDADO PERSONAL;26018-MILI TOALLA NOCTURNA SUAVE C/ALAS X32 (12);37;1;0;1;36;2.7;215
10 - Fabian Retamosa;1080-MILI CUIDADO PERSONAL;26011-MILI TOALLA SUAVE 8 (36);216;2;0;2;214;0.93;90
10 - Fabian Retamosa;1080-MILI CUIDADO PERSONAL;26028-PAÑAL MILI L/C TALLE XXG X 20U;2;2;0;2;0;100;748
10 - Fabian Retamosa;1081-MILI PAPEL H Y COCINA;00841-MILI DUAL 30M X 8 ROLLOS (12);93;12;0;12;81;12.9;2376
10 - Fabian Retamosa;1081-MILI PAPEL H Y COCINA;26007-MILI DUAL 30MTS x12 (F.8);124;0;1;1;123;0.81;240
10 - Fabian Retamosa;1081-MILI PAPEL H Y COCINA;26008-MILI DUAL 60MTS x6 (F.8);315;8;0;8;307;2.54;2224
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;AD2633-ADES DURAZNO 200ML;94;6;6;12;82;12.77;311.99
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27140-ADES MANZANA 200ml;112;6;18;24;88;21.43;623.99
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;PL12422-L PATAIA ANTORCHA RELLENA X9;11;0;2;2;9;18.18;1410
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27130-MARIA BONITA MALTEADA INTEGRAL 380g (12);0;0;2;2;-2;100;261
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27015-MARIA BONITA MALTEADAS 380grs X12;10;0;3;3;7;30;390
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27048-MARIA BONITA PAPA TUBO BARBACOA 140g;192;4;1;5;187;2.6;608
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27028-MARIA BONITA PAPA TUBO CLASICA 140g;251;6;0;6;245;2.39;732
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27145-MARIA BONITA PAPA TUBO CHEDDAR 140g;91;2;0;2;89;2.2;244
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27044-MAYONESA URUGUAY 1kg;20;5;0;5;15;25;945
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;65075-P.BALLENA SURTIDAS 300GRS CX12;205;0;2;2;203;0.98;180
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27114-PUNTA BA. DECORADAS 110gs (24);14;6;3;9;5;64.29;522
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27017-PUNTA BA. DULCE DE LECHE 900grs;146;1;3;4;142;2.74;614
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;1312-PUNTA BA. DULCE DE LECHE CREMOSO 900g;144;0;1;1;143;0.69;155
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27008-PUNTA BA. FELICITA CHOCO 400grs X12;63;0;4;4;59;6.35;441
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27016-PUNTA BA. OBLEAS ILIKE CHOCO 140grs X36;468;0;23;23;445;4.91;1426.01
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;27127-PUNTA BA. OBLEAS ILIKE DDL 140grsx36;105;0;4;4;101;3.81;248
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;05061-PUNTA BALLENA PEPAS ALPINAS 320G (12);70;0;1;1;69;1.43;92
10 - Fabian Retamosa;1100-Punta Ballena Galletitas;05060-PUNTA BALLENA PEPAS C/CHISPAS 320G (12);76;0;1;1;75;1.32;98
