vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
1 - Jorge;370-Gema;4010-GRASA COMSA 400G;4040;1320;0;1320;2720;32.67;38940.09
1 - Jorge;409-Avanti-Gastronomico;20514-ROTISERA 14 CM X10 AVANTI- 32X CAJA;288;4;0;4;284;1.39;476
1 - Jorge;410-Avanti-Tapas;20503-EMPANADA CASERA X12 AVANTI- 28 X CAJA;147;3;24;27;120;18.37;2868.75
1 - Jorge;410-Avanti-Tapas;20504-EMPANADA CASERA X20 AVANTI- 20X CAJA;142;3;3;6;136;4.23;806.46
1 - Jorge;410-Avanti-Tapas;20502-EMPANADA COPETIN x24 AVANTI- 18X CAJA;97;5;19;24;73;24.74;2709.9
1 - Jorge;410-Avanti-Tapas;20500-EMPANADA X12 AVANTI- 28X CAJA;476;11;42;53;423;11.13;5887.78
1 - Jorge;410-Avanti-Tapas;20501-EMPANADA X20 AVANTI- 20X CAJA;472;7;33;40;432;8.47;6425.73
1 - Jorge;410-Avanti-Tapas;20506-MASA BRISSA AVANTI- 20X CAJA;18;0;2;2;16;11.11;129.45
1 - Jorge;410-Avanti-Tapas;20511-RECTANGULAR CASERA AVANTI- 20X CAJA;172;0;1;1;171;0.58;134.75
1 - Jorge;410-Avanti-Tapas;20510-RECTANGULAR HOJ  AVANTI- 20X CAJAS;932;6;11;17;915;1.82;2660.01
1 - Jorge;410-Avanti-Tapas;20509-REDONDA CASERA AVANTI- 20X CAJA;159;0;3;3;156;1.89;262.74
1 - Jorge;410-Avanti-Tapas;20508-REDONDA HOJ AVANTI- 20X CAJA;764;4;15;19;745;2.49;2114
1 - Jorge;411-Avanti-Pastas;20561-RAVIOLES JAM Y QUE 500G - AV- 12XCAJA;95;1;6;7;88;7.37;1373.65
1 - Jorge;411-Avanti-Pastas;20549-RAVIOLES VERDURA -AV 500G- 12X CAJA;150;1;12;13;137;8.67;2496.28
1 - Jorge;411-Avanti-Pastas;20553-SORRENTINOS 4QUESOS-AV 500G- 12X CAJA;126;1;11;12;114;9.52;2685.1
1 - Jorge;411-Avanti-Pastas;20550-SORRENTINOS J Y Q- AV 500G- 12X CAJA;168;3;6;9;159;5.36;1927
1 - Jorge;411-Avanti-Pastas;20547-SORRENTINOS RI Y ES- AV 500G- 12X CAJA;125;0;21;21;104;16.8;4567.39
1 - Jorge;411-Avanti-Pastas;20565-TAGLIATELLE AL HUEVO 270G AVANTI (16);25;0;47;47;-22;188;5988.15
1 - Jorge;411-Avanti-Pastas;20571-TAGLIATELLE ALBAHACA AVANTI 270G (16);32;4;36;40;-8;125;5380.23
1 - Jorge;411-Avanti-Pastas;20551-TALLARINES FINOS- AV 500G- 12X CAJA;200;6;7;13;187;6.5;1401.37
1 - Jorge;412-Pastamania-Tapas;20515-EMPANADA X12 PASTAMANÍA- 36X CAJA;387;0;26;26;361;6.72;2159.17
1 - Jorge;412-Pastamania-Tapas;20518-EMPANADA X20 PASTAMANÍA- 24X CAJA;371;0;44;44;327;11.86;5347.64
1 - Jorge;412-Pastamania-Tapas;20520-RECTANGULAR PASTAMANÍA- 20X CAJA;699;4;32;36;663;5.15;4065.54
1 - Jorge;412-Pastamania-Tapas;20519-REDONDA PASTAMANÍA- 20X CAJA;1066;2;32;34;1032;3.19;2787.42
1 - Jorge;413-Pastamania-Pastas;20559-RAVIOL 4 QUESOS 500G PASTAMANIA- 12X CAJA;142;0;13;13;129;9.15;1684.92
1 - Jorge;413-Pastamania-Pastas;20560-RAVIOL CAR/VERD. 500G PASTAMANIA- 12X CAJA;117;0;9;9;108;7.69;1129.37
1 - Jorge;413-Pastamania-Pastas;20554-RAVIOL RIC Y ESP-500G PASTAMANIA- 12X CAJA;139;0;14;14;125;10.07;1848.31
1 - Jorge;413-Pastamania-Pastas;20555-TALLARINES 500G PASTAMANIA- 12X CAJA;185;0;10;10;175;5.41;1036.45
1 - Jorge;440-OFERTAS;5199-OFERTA BEBIBLE DURAZNO;1218;16;29;45;1173;3.69;1800.01
1 - Jorge;440-OFERTAS;5200-OFERTA BEBIBLE FRUTILLA;798;66;13;79;719;9.9;3160.01
1 - Jorge;440-OFERTAS;8062-OFERTA JAMON ARIZONA CUADRADO;38.35;0;5.78;5.78;32.57;15.07;1184.9
1 - Jorge;440-OFERTAS;8037-OFERTA MORTADELA ARIZONA;160.85;0;3.41;3.41;157.44;2.12;467.17
1 - Jorge;440-OFERTAS;5197-OFERTA MUZZARELLA CALCAR;1040.63;21.13;1;22.13;1018.51;2.13;6394.41
1 - Jorge;440-OFERTAS;9013-OFERTA PALETA ROJA CENTENARIO;544.35;39.2;6.3;45.5;498.85;8.36;10373.99
1 - Jorge;440-OFERTAS;8642-OFERTA SALAME ARIZONA;73.78;2;0;2;71.78;2.71;684
1 - Jorge;468-Cañuela Galletas;22102-9 DE ORO AGRIDULCE 200GR (20);223;13;0;13;210;5.83;533.01
1 - Jorge;468-Cañuela Galletas;22103-9 DE ORO AGRIDULCE 420GR (15);179;5;0;5;174;2.79;350
1 - Jorge;472-Jugos Maxi;2269-MAXI NARANJA X1L;12;12;0;12;0;100;636.01
1 - Jorge;480-Oderich;22085-KETCHUP 1K ODERICH;179;2;0;2;177;1.12;226
1 - Jorge;480-Oderich;22098-MAYONESA 1 KG ODERICH;88;14;0;14;74;15.91;1708
1 - Jorge;480-Oderich;22086-MOSTAZA 1K ODERICH;45;13;0;13;32;28.89;1320
1 - Jorge;480-Oderich;22046-PATE CARNE 100GR ODERICH;38;3;0;3;35;7.89;123
1 - Jorge;480-Oderich;22048-PATE HIGADO 100GR ODERICH;23;3;0;3;20;13.04;123
1 - Jorge;480-Oderich;22044-PATE JAMON 100G ODERICH/P.GRANJA c 24;34;6;0;6;28;17.65;246
1 - Jorge;480-Oderich;22071-PATE LENGUA 100G ODERICH;62;3;0;3;59;4.84;123
1 - Jorge;480-Oderich;22047-PATE PAVITA 100G ODERICH;16;3;0;3;13;18.75;123
1 - Jorge;480-Oderich;22045-PATE POLLO 100G ODERICH;40;3;0;3;37;7.5;123
1 - Jorge;504-Boby;23029-OFERTA REX 7kg;673;2;0;2;671;0.3;644
