vendedor,linea,articulo,venta_bruta,dev_Buen_Estado,dev_Mal_Estado,dev_total,venta_neta,porc_dev,tot_dev_$
6 - David Sosa,1-Impulsiva,86.2-PALETA FRUTAL FRUTILLA (36),432.0,36.0,0.0,36.0,396.0,8.33,720.0
6 - David Sosa,1-Impulsiva,1.6-PALITO DUKE N/F 50 UNID,4231.0,81.0,0.0,81.0,4150.0,1.91,1214.99
6 - David Sosa,1-Impulsiva,1-PALITO FRUTILLA 50 UNID,1150.0,0.0,1.0,1.0,1149.0,0.09,15.0
6 - David Sosa,1-Impulsiva,354-PALITO LECHE CREMA 30 UNI,150.0,0.0,5.0,5.0,145.0,3.33,110.0
6 - David Sosa,1-Impulsiva,355-PALITO LECHE DDL/CHOCO 30 UNI,990.0,0.0,2.0,2.0,988.0,0.2,44.0
6 - David Sosa,1-Impulsiva,1.2-PALITO NARANJA 50 UNID,750.0,50.0,0.0,50.0,700.0,6.67,750.0
6 - David Sosa,1-Impulsiva,2-SANDWICHE 30,7831.0,210.0,0.0,210.0,7621.0,2.68,8786.55
6 - David Sosa,1-Impulsiva,16.03-VASO CR/CHO 36 UNID,1388.0,96.0,0.0,96.0,1292.0,6.92,4128.01
6 - David Sosa,2-FAMILIAR 1L,8.5-BA. 1 LT CRE. VETEADO,66.0,1.0,0.0,1.0,65.0,1.52,173.05
6 - David Sosa,2-FAMILIAR 1L,8.4-BA. 1 LT DDL/GRANIZADO,73.0,4.0,0.0,4.0,69.0,5.48,806.11
6 - David Sosa,2-FAMILIAR 1L,10101071-BA. 1 LT FRUTILLA A LA PANA,45.0,3.0,0.0,3.0,42.0,6.67,633.05
6 - David Sosa,2-FAMILIAR 1L,8.2-BA. 1 LT T/SAMBAYON,88.0,3.0,0.0,3.0,85.0,3.41,576.1
6 - David Sosa,2-FAMILIAR 1L,8-BA. 1 LT TRIPLE,118.0,5.0,0.0,5.0,113.0,4.24,1036.11
6 - David Sosa,3-Premium,9.3-PREM. MANJAR DE NIEVE,39.0,3.0,0.0,3.0,36.0,7.69,1113.0
6 - David Sosa,3-Premium,9.4-PREM. SUSPIRO DE MENTA,29.0,1.0,0.0,1.0,28.0,3.45,371.0
6 - David Sosa,4-Dietetica,82.05-DIET 1 LT CREMA C/DURAZNO EN TROZOS,57.0,6.0,0.0,6.0,51.0,10.53,1443.19
6 - David Sosa,4-Dietetica,82.04-DIET 1 LT FRUTILLA C/FRUTILLAS EN TROZOS,60.0,4.0,0.0,4.0,56.0,6.67,919.19
6 - David Sosa,4-Dietetica,11201073-DIET 1 LT TRIPLE CLASICO,120.0,4.0,0.0,4.0,116.0,3.33,919.19
6 - David Sosa,4-Dietetica,82-DIET 1 LT VAINILLA,22.0,1.0,0.0,1.0,21.0,4.55,262.0
6 - David Sosa,4-Dietetica,11201138-DIET 1LT CAPUCCINO,2.0,1.0,1.0,2.0,0.0,100.0,524.0
6 - David Sosa,8-FAMILIAR 2LT,13.5-BA. 2 LT DDL/ GRANIZ.,95.0,1.0,0.0,1.0,94.0,1.05,400.0
6 - David Sosa,8-FAMILIAR 2LT,13.8-BA. 2 LT FLAN,105.0,2.0,0.0,2.0,103.0,1.9,820.0
6 - David Sosa,8-FAMILIAR 2LT,13.2-BA. 2 LT T/SAMBAYON,131.0,1.0,0.0,1.0,130.0,0.76,400.0
6 - David Sosa,8-FAMILIAR 2LT,13-BA. 2 LT TRIPLE,198.0,1.0,0.0,1.0,197.0,0.51,400.0
6 - David Sosa,10-FAMILIAR 5 LT,12.6-BA. 5 LT C/ VETEADO,94.0,3.0,0.0,3.0,91.0,3.19,1464.62
6 - David Sosa,10-FAMILIAR 5 LT,12.3-BA. 5 LT D/GRANIZADO,84.0,5.0,1.0,6.0,78.0,7.14,3358.1
6 - David Sosa,10-FAMILIAR 5 LT,12.4-BA. 5 LT FLAN,116.0,3.0,0.0,3.0,113.0,2.59,1464.62
6 - David Sosa,10-FAMILIAR 5 LT,12.9-BA. 5 LT T/SAMBAYON,189.0,5.0,0.0,5.0,184.0,2.65,2441.88
6 - David Sosa,10-FAMILIAR 5 LT,12-BA. 5 LT TRIPLE,260.0,13.0,2.0,15.0,245.0,5.77,7462.68
6 - David Sosa,11-POSTRES TRIPLES,19-CRUFI POSTRE ALMENDRADO,0.0,1.0,0.0,1.0,-1.0,100.0,617.0
6 - David Sosa,11-POSTRES TRIPLES,20-CRUFI POSTRE TRIPLE BAÑADO,2.0,1.0,0.0,1.0,1.0,50.0,617.0
6 - David Sosa,11-POSTRES TRIPLES,910101084-DIETETICO SALCHICHON CHOCOLATE,9.0,1.0,0.0,1.0,8.0,11.11,260.0
6 - David Sosa,12-Delicato 2 lt,11701117-DELICATO DELEITE DE COCO 2LT,9.0,9.0,0.0,9.0,0.0,100.0,4063.5
6 - David Sosa,12-Delicato 2 lt,11701110-DELICATO PASION DE DDL 2LT,22.0,0.0,1.0,1.0,21.0,4.55,430.0
6 - David Sosa,12-Delicato 2 lt,11701142-DELICATO SAMBAYON DEL BOSQUE,22.0,2.0,0.0,2.0,20.0,9.09,860.0
6 - David Sosa,12-Delicato 2 lt,11701009-DELICATO SUPER BANANA SPLIT 2LT,0.0,1.0,0.0,1.0,-1.0,100.0,317.65
6 - David Sosa,12-Delicato 2 lt,11701109-DELICATO SUPER TRAMONTANA 2LT,77.0,2.0,1.0,3.0,74.0,3.9,1290.0
6 - David Sosa,19-Italiana  500 ml,11901057-ITALIANA MENTA GRANIZADA 500 ml,31.0,0.0,1.0,1.0,30.0,3.23,143.48
6 - David Sosa,20-ITALIANA 180 GR,22101035-ITALIANA  Dulce de leche  180ml  (12),7.0,2.0,0.0,2.0,5.0,28.57,164.0
6 - David Sosa,20-ITALIANA 180 GR,22101057-ITALIANA Menta Granizada 180ml  (12),9.0,2.0,0.0,2.0,7.0,22.22,164.0
6 - David Sosa,20-ITALIANA 180 GR,22101086-ITALIANA Samba c/Almendra 180ml (12),17.0,4.0,1.0,5.0,12.0,29.41,297.41
6 - David Sosa,22-Pastas batuk 750 gr,730367805-RAVIOLES JAM Y QUESO 750 BATUK,130.0,5.0,0.0,5.0,125.0,3.85,474.6
6 - David Sosa,22-Pastas batuk 750 gr,730367822-RAVIOLES POLLO Y ESP. 750 BATUK,119.0,5.0,0.0,5.0,114.0,4.2,474.6
6 - David Sosa,22-Pastas batuk 750 gr,730367613-RAVIOLES VERDURA 750 BATUK,311.0,8.0,0.0,8.0,303.0,2.57,759.36
6 - David Sosa,22-Pastas batuk 750 gr,731767826-TALLARINES 500g BATUK,62.0,0.0,6.0,6.0,56.0,9.68,450.0
6 - David Sosa,25-DIETETICO 90g,22201099-VASO LIGHT FLAN C/DDL 90gr (12),30.0,2.0,0.0,2.0,28.0,6.67,125.86
6 - David Sosa,25-DIETETICO 90g,22201029-VASO LIGHT FRUTILLA C/S. FRUT 90 gr (12),24.0,2.0,0.0,2.0,22.0,8.33,125.86
6 - David Sosa,50-Quesos,5045-DAMBO CALCAR,269.76,14.51,0.0,14.51,255.25,5.38,6354.24
6 - David Sosa,50-Quesos,5050-MUZZARELLA X 4K CALCAR,1103.14,12.0,0.0,12.0,1091.14,1.09,3000.04
6 - David Sosa,50-Quesos,5055-REQUESON CALCAR,63.0,0.0,5.0,5.0,58.0,7.94,490.0
6 - David Sosa,50-Quesos,5056-REQUESON LIGHT CALCAR,14.0,0.0,1.0,1.0,13.0,7.14,98.0
6 - David Sosa,52-Crema Doble,5087-CREMA DOBLE X 1/2LT,200.0,2.0,11.0,13.0,187.0,6.5,1745.6
6 - David Sosa,52-Crema Doble,5088-CREMA DOBLE X 1/4 LT,132.0,2.0,12.0,14.0,118.0,10.61,1433.15
6 - David Sosa,52-Crema Doble,5086-CREMA DOBLE X 1LT,552.0,0.0,5.0,5.0,547.0,0.91,902.5
6 - David Sosa,53-Yogur,5075-GELATINA CALCAR FRUTILLA,214.0,0.0,5.0,5.0,209.0,2.34,121.78
6 - David Sosa,53-Yogur,5090-POSTRE BOB VAINILLA,242.0,1.0,7.0,8.0,234.0,3.31,288.0
6 - David Sosa,53-Yogur,5089-POSTRE C/ROCKLES,195.0,0.0,22.0,22.0,173.0,11.28,902.53
6 - David Sosa,53-Yogur,5244-YOGUR 0% DURAZNO,84.0,10.0,9.0,19.0,65.0,22.62,1203.02
6 - David Sosa,53-Yogur,5243-YOGUR 0% FRUTILLA,83.0,0.0,11.0,11.0,72.0,13.25,778.99
6 - David Sosa,53-Yogur,5057-YOGUR 0% NATURAL,85.0,8.0,3.0,11.0,74.0,12.94,723.99
6 - David Sosa,53-Yogur,5082-YOGUR BEBIBLE DR,156.0,4.0,1.0,5.0,151.0,3.21,279.0
6 - David Sosa,53-Yogur,5081-YOGUR BEBIBLE FR,182.0,14.0,6.0,20.0,162.0,10.99,1048.97
6 - David Sosa,53-Yogur,5078-YOGUR BIO DR C/DR,343.0,7.0,12.0,19.0,324.0,5.54,1364.99
6 - David Sosa,53-Yogur,5077-YOGUR BIO FR C/FR,304.0,3.0,4.0,7.0,297.0,2.3,504.45
6 - David Sosa,53-Yogur,5074-YOGUR BIO NATURAL,259.0,3.0,5.0,8.0,251.0,3.09,598.5
6 - David Sosa,53-Yogur,5079-YOGUR C/CEREALES,244.0,0.0,35.0,35.0,209.0,14.34,1321.35
6 - David Sosa,54-Dulces,5189-DULCE LECHE 1 KG POTE CALCAR,48.0,0.0,2.0,2.0,46.0,4.17,396.0
6 - David Sosa,54-Dulces,5066-DULCE LECHE CREMA CALCAR TARRINA,16.0,0.0,1.0,1.0,15.0,6.25,1044.75
